Name;Hostname;IPAddr;CPU;Mem(MB);OS;State;DataStore;DiskCount;Disks(GB);vLAN;IPAddr
app035;esxi27.demo.test;8;24576;Red Hat Enterprise Linux 5 (64-bit);POWERED ON;DS-Shared17;1;40;WEB_NET;10.33.26.5;MGMT_NET;10.44.246.5;IPSTORAGE_NET;10.33.190.5
app036;esxi19.demo.test;2;4096;Microsoft Windows Server 2012 R2 (64-bit);POWERED ON;DS-Shared18;1;40;MGMT_NET;10.44.216.33;WEB_NET;192.22.116.33;IPSTORAGE_NET;10.33.188.221
app037;esxi20.demo.test;2;4096;Microsoft Windows Server 2012 R2 (64-bit);POWERED OFF;DS-Shared20;1;40;MGMT_NET;10.44.217.3;IPSTORAGE_NET;10.33.188.18;WEB_NET;10.33.117.3
app038;esxi26.demo.test;2;6144;Red Hat Enterprise Linux 6 (64-bit);POWERED ON;DS-Shared11;1;60;MGMT_NET;10.44.216.74;WEB_NET;10.33.116.74;STORAGE_NET;10.33.132.74
app039;esxi22.demo.test;2;6144;Red Hat Enterprise Linux 6 (64-bit);POWERED ON;DS-Shared17;1;60;MGMT_NET;10.44.216.97;WEB_NET;10.33.116.97;STORAGE_NET;10.33.132.97
app040;esxi25.demo.test;2;6144;Red Hat Enterprise Linux 6 (64-bit);POWERED ON;DS-Shared19;1;60;MGMT_NET;10.44.216.75;WEB_NET;10.33.116.75;STORAGE_NET;10.33.132.75
app041;esxi23.demo.test;2;6144;Red Hat Enterprise Linux 6 (64-bit);POWERED OFF;DS-Shared16;1;60;MGMT_NET;10.44.216.100;WEB_NET;10.33.42.210;DB_NET;10.32.132.75
app042;esxi21.demo.test;4;16384;Red Hat Enterprise Linux 6 (64-bit);POWERED ON;DS-Shared12;1;40;MGMT_NET;10.44.40.213;IPSTORAGE_NET;10.33.190.201;DB_NET;10.32.132.76
app043;esxi24.demo.test;4;10240;Red Hat Enterprise Linux 6 (64-bit);POWERED ON;DS-Shared12;1;40;MGMT_NET;10.44.40.212;IPSTORAGE_NET;10.33.190.202;DB_NET;10.32.132.77
app044;esxi24.demo.test;2;8192;Microsoft Windows Server 2008 R2 (64-bit);POWERED ON;DS-Shared13;1;40;MGMT_NET;10.44.40.38;WEB_NET;10.33.246.101;DB_NET;10.32.132.78
app045;esxi20.demo.test;8;24576;Red Hat Enterprise Linux 5 (64-bit);POWERED ON;DS-Shared14;1;40;WEB_NET;10.33.26.4;MGMT_NET;10.44.246.4;IPSTORAGE_NET;10.33.190.4
app046;esxi21.demo.test;8;24576;Red Hat Enterprise Linux 5 (64-bit);POWERED ON;DS-Shared15;1;40;WEB_NET;10.33.26.1;MGMT_NET;10.44.246.1;IPSTORAGE_NET;10.33.190.1
